system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
9049_0,0.13338903,0.25657344,1223,6,9,0.07992378,0.2058129,777,1_00001791003e6a8d44a6,0.1573561,0.2894902,1920,0.058877397,0.20448293,564,0.030886697,0.05796453,359,0.019740304,0.05347588,199,
9051_0,0.31006742,0.39490592,1322,6,6,0.2311607,0.32534483,840,1_00000e0643e441a6d028,0.27380604,0.39423546,1408,0.23021284,0.34244177,659,0.06535504,0.0386078,312,0.061625224,0.041513164,219,
9053_0,0.13081288,0.2723822,1169,6,6,0.07966693,0.21233755,740,1_0000d64bc64440c0bc4b,0.1424885,0.34646523,1777,0.05968234,0.21344659,537,0.034587078,0.06358649,377,0.022528786,0.053407717,212,
9055_0,0.33192742,0.39425853,1670,6,-1,0.2728326,0.32987615,1157,2_000027c302de0d563625,0.3700836,0.41925293,1370,0.29269904,0.3514086,1023,0.18529408,0.13636559,439,0.17432022,0.1351548,337,
9056_0,0.47660562,0.42751095,6880,6,-1,0.44973862,0.40392753,6868,2_000089d8ab7469ca82d2,0.7450235,0.6833171,9278,0.54900783,0.48343265,7850,0.21405312,0.22609435,1206,0.18724918,0.1962731,959,
9061_0,0.1611581,0.15460896,1692,6,9,0.1075224,0.10866557,1250,1_00009b6650756c75e3b4,0.18096076,0.20384881,2201,0.09370634,0.09771459,1149,0.06585514,0.06762915,736,0.04721785,0.049836546,539,
9062_0,0.3284715,0.3699626,4295,6,-1,0.2507541,0.30432025,3650,2_000014a11f3e82e6f7a6,0.32336134,0.3917251,4522,0.26175517,0.3269698,3899,0.08155007,0.09556577,639,0.06813583,0.08326523,599,
9064_0,0.41769022,0.39384016,3112,6,-1,0.3376149,0.33813244,2612,2_0000e6221d7741aa8bb6,0.37694147,0.41644633,3244,0.34565336,0.35944307,2728,0.30045253,0.14881186,852,0.24962479,0.13750537,759,
9065_0,0.236339,0.24938679,1267,6,13,0.17930928,0.1874107,843,1_00009717abce293fc288,0.24329883,0.24229193,1519,0.17290434,0.18553615,668,0.10296905,0.10626958,290,0.08423277,0.096329756,200,
9070_0,0.26689845,0.4061045,1774,6,9,0.20472117,0.34739548,1295,1_0000b55607bbdddaea2f,0.295507,0.44936988,2051,0.21024695,0.37273002,1189,0.1010803,0.1758957,329,0.09573074,0.17340852,271,
9072_0,0.18537036,0.29443702,1330,6,11,0.1312645,0.26669505,885,1_0000cec9cc92ca7890da,0.20208214,0.37022132,1749,0.12699765,0.26491863,720,0.089070216,0.090384,650,0.07099542,0.07988813,440,
9073_0,0.34806877,0.26786354,2135,6,-1,0.2730057,0.19631372,1477,2_0000ed6ecc2900ef30d2,0.32257566,0.20151944,1603,0.2844034,0.18515033,1211,0.14392148,0.084911175,331,0.13569354,0.0676166,217,
9075_0,0.35124472,0.32879448,3584,6,-1,0.2972335,0.28232378,3280,2_0000c3f3b8f7a5b60170,0.41735113,0.40620953,4749,0.3320594,0.3136196,3680,0.12883966,0.1394245,1369,0.10884905,0.12192245,1036,
9076_0,0.371871,0.32160723,1908,6,-1,0.3106805,0.2758866,1526,2_000027980f826bfca23c,0.38552308,0.35520756,2492,0.3262813,0.2853471,1553,0.17016304,0.15747368,876,0.14448595,0.14707913,692,
9079_0,0.3529498,0.27349994,2310,6,-1,0.28647798,0.23411459,2049,2_000077c5d4c93251c58f,0.37131456,0.42478698,3961,0.3047191,0.25394812,2216,0.22921948,0.10395701,1008,0.18649203,0.08170063,786,
9081_0,0.42128253,0.16451114,1510,6,-1,0.34970647,0.106957704,982,2_00004e19b79213d70029,0.426069,0.12512577,1257,0.36929417,0.09213331,817,0.17577371,0.047926538,450,0.17651008,0.03687323,344,
9083_0,0.23648584,0.36578906,1681,6,14,0.16943038,0.29325593,1195,1_00001486c4941d9ad090,0.23678386,0.3376203,1936,0.16625881,0.30037042,1057,0.12035675,0.117302366,270,0.10307872,0.115277916,239,
9084_0,0.45352054,0.5041673,4822,6,-1,0.3694762,0.42437616,4179,2_00003db373980011e950,0.47773388,0.52493787,5193,0.3922631,0.4616949,4521,0.11402634,0.123732954,1024,0.11406006,0.13367459,924,
9088_0,0.35275757,0.5179542,6730,6,-1,0.2858588,0.4670326,6226,2_0000bcf3163374e1dfac,0.4000677,0.6375256,7943,0.31105348,0.5348652,7048,0.09319265,0.11309619,960,0.08711053,0.11768542,1064,
9089_0,0.27668592,0.25360888,1738,6,-1,0.22127362,0.1998357,1371,2_0000281519578fd26358,0.33944073,0.26003897,2835,0.22786805,0.19698662,1328,0.15109198,0.15886775,864,0.13115482,0.13501786,601,
9090_0,0.51329094,0.27356267,1358,6,10,0.43555304,0.21480487,878,1_00006280eba121878ede,0.51532596,0.26422334,1086,0.46363637,0.20861423,720,0.39270127,0.0785572,345,0.31816128,0.06526865,234,
9091_0,0.6439067,0.72421587,8168,6,-1,0.5611025,0.64387476,7298,2_000008470c8b97e3d483,0.6933686,0.7659706,8384,0.62085915,0.7101836,7990,0.1254011,0.09861016,688,0.12992537,0.112790264,830,
9093_0,0.354429,0.22882989,2887,6,-1,0.32224667,0.21766374,2730,2_00000e0cc47afc17bb6d,0.43338138,0.33482823,4126,0.35465306,0.2537974,3088,0.16535884,0.1673407,1821,0.14235237,0.1337164,1413,
9094_0,0.29045588,0.41385525,1552,6,9,0.21851456,0.35682362,1126,1_0000b55607bbdddaea2f,0.33442527,0.46649092,2564,0.22729307,0.38603354,1009,0.11665942,0.18289451,429,0.111198545,0.1813328,325,
9095_0,0.49477318,0.39751905,5110,6,-1,0.42150345,0.3506765,4758,2_0000db1a40c704a1151f,0.5206201,0.5210172,6679,0.4558187,0.3988263,5379,0.20176789,0.10047141,1083,0.20493431,0.089681126,975,
9096_0,0.32408148,0.4294146,2162,6,7,0.25578266,0.38493454,1748,1_0000c25b9f16b56437cb,0.32785195,0.6188452,3056,0.2633421,0.43618205,1736,0.17752329,0.16207162,557,0.15846783,0.15594043,392,
9097_0,0.43371278,0.40898812,6065,6,-1,0.38991532,0.36095122,5986,2_000017ca097dd7d1df01,0.63584983,0.50177735,7967,0.46374157,0.40335742,6858,0.180435,0.14065014,1087,0.16312583,0.13279063,1040,
